State,District,2012 Cook PVI Score,Winner,Party,Dem Votes,GOP Votes,Other Votes,Total Votes,"Field
Margin",All_minus_Dem,All_minus_GOP,Dem %,GOP %,Other %,GOP Margin%,GOP Raw Margin,Final?,2016 Prez Winner
Alabama,AL-1,R+15,Bradley Byrne,R,0,208083,7810,215893,6477,215893,-200273,0.0%,96.4%,3.6%,96.4%,"208,083",x,Trump
Alabama,AL-2,R+17,Martha Roby,R,112089,134886,29609,276584,8298,52406,6812,40.5%,48.8%,10.7%,8.2%,"22,797",x,Trump
Alabama,AL-3,R+16,Mike Rogers,R,94549,192164,391,287104,8613,98006,-97224,32.9%,66.9%,0.1%,34.0%,"97,615",x,Trump
Alabama,AL-4,R+28,Robert Aderholt,R,0,235925,3519,239444,7183,239444,-232406,0.0%,98.5%,1.5%,98.5%,"235,925",x,Trump
Alabama,AL-5,R+17,Mo Brooks,R,102234,205647,445,308326,9250,103858,-102968,33.2%,66.7%,0.1%,33.5%,"103,413",x,Trump
Alabama,AL-6,R+28,Gary Palmer,R,83709,245313,284,329306,9879,161888,-161320,25.4%,74.5%,0.1%,49.1%,"161,604",x,Trump
Alabama,AL-7,D+20,Terri Sewell,D,229330,0,3698,233028,6991,-225632,233028,98.4%,0.0%,1.6%,-98.4%,"-229,330",x,Clinton
Alaska,AK-AL,R+12,Don Young,R,111019,155088,42091,308198,9246,86160,-1978,36.0%,50.3%,13.7%,14.3%,"44,069",x,Trump
Arizona,AZ-1,R+4,Tom O'Halleran,D,142219,121745,16746,280710,8421,-3728,37220,50.7%,43.4%,6.0%,-7.3%,"-20,474",x,Trump
Arizona,AZ-2,R+3,Martha McSally,R,135873,179806,0,315679,9470,43933,-43933,43.0%,57.0%,0.0%,13.9%,"43,933",x,Clinton
Arizona,AZ-3,D+8,Raul Grijalva,D,148973,0,20162,169135,5074,-128811,169135,88.1%,0.0%,11.9%,-88.1%,"-148,973",x,Clinton
Arizona,AZ-4,R+20,Paul Gosar,R,81296,203487,0,284783,8543,122191,-122191,28.5%,71.5%,0.0%,42.9%,"122,191",x,Trump
Arizona,AZ-5,R+17,Andy Biggs,R,114940,205184,0,320124,9604,90244,-90244,35.9%,64.1%,0.0%,28.2%,"90,244",x,Trump
Arizona,AZ-6,R+12,David Schweikert,R,122866,201578,0,324444,9733,78712,-78712,37.9%,62.1%,0.0%,24.3%,"78,712",x,Trump
Arizona,AZ-7,D+16,Ruben Gallego,D,119465,39286,60,158811,4764,-80119,80239,75.2%,24.7%,0.0%,-50.5%,"-80,179",x,Clinton
Arizona,AZ-8,R+15,Trent Franks,R,0,204942,94029,298971,8969,298971,-110913,0.0%,68.5%,31.5%,68.5%,"204,942",x,Trump
Arizona,AZ-9,R+1,Kyrsten Sinema,D,169055,108350,102,277507,8325,-60603,60807,60.9%,39.0%,0.0%,-21.9%,"-60,705",x,Clinton
Arkansas,AR-1,R+14,Rick Crawford,R,0,183866,57181,241047,7231,241047,-126685,0.0%,76.3%,23.7%,76.3%,"183,866",x,Trump
Arkansas,AR-2,R+8,French Hill,R,111347,176472,14645,302464,9074,79770,-50480,36.8%,58.3%,4.8%,21.5%,"65,125",x,Trump
Arkansas,AR-3,R+19,Steve Womack,R,0,217192,63715,280907,8427,280907,-153477,0.0%,77.3%,22.7%,77.3%,"217,192",x,Trump
Arkansas,AR-4,R+15,Bruce Westerman,R,0,182885,61274,244159,7325,244159,-121611,0.0%,74.9%,25.1%,74.9%,"182,885",x,Trump
California,CA-1,R+10,Doug La Malfa,R,128588,185448,0,314036,9421,56860,-56860,40.9%,59.1%,0.0%,18.1%,"56,860",x,Trump
California,CA-2,D+20,Jared Huffman,D,254194,76572,0,330766,9923,-177622,177622,76.9%,23.1%,0.0%,-53.7%,"-177,622",x,Clinton
California,CA-3,D+3,John Garamendi,D,152513,104453,0,256966,7709,-48060,48060,59.4%,40.6%,0.0%,-18.7%,"-48,060",x,Clinton
California,CA-4,R+10,Tom McClintock,R,130845,220133,0,350978,10529,89288,-89288,37.3%,62.7%,0.0%,25.4%,"89,288",x,Trump
California,CA-5,D+19,Mike Thompson,D,224526,67565,0,292091,8763,-156961,156961,76.9%,23.1%,0.0%,-53.7%,"-156,961",x,Clinton
California,CA-6,D+18,Doris Matsui,D,177565,57848,0,235413,7062,-119717,119717,75.4%,24.6%,0.0%,-50.9%,"-119,717",x,Clinton
California,CA-7,EVEN,Ami Bera,D,152133,145168,0,297301,8919,-6965,6965,51.2%,48.8%,0.0%,-2.3%,"-6,965",x,Clinton
California,CA-8,R+10,Paul Cook,R,83035,136972,0,220007,6600,53937,-53937,37.7%,62.3%,0.0%,24.5%,"53,937",x,Trump
California,CA-9,D+6,Jerry McNerney,D,133163,98992,0,232155,6965,-34171,34171,57.4%,42.6%,0.0%,-14.7%,"-34,171",x,Clinton
California,CA-10,R+1,Jeff Denham,R,116470,124671,0,241141,7234,8201,-8201,48.3%,51.7%,0.0%,3.4%,"8,201",x,Clinton
California,CA-11,D+17,Mark DeSaulnier,D,214868,83341,0,298209,8946,-131527,131527,72.1%,27.9%,0.0%,-44.1%,"-131,527",x,Clinton
California,CA-12,D+34,Nancy Pelosi,D,274035,0,64810,338845,10165,-209225,338845,80.9%,0.0%,19.1%,-80.9%,"-274,035",x,Clinton
California,CA-13,D+37,Barbara Lee,D,293117,29754,0,322871,9686,-263363,263363,90.8%,9.2%,0.0%,-81.6%,"-263,363",x,Clinton
California,CA-14,D+23,Jackie Speier,D,231630,54817,0,286447,8593,-176813,176813,80.9%,19.1%,0.0%,-61.7%,"-176,813",x,Clinton
California,CA-15,D+16,Eric Swalwell,D,198578,70619,0,269197,8076,-127959,127959,73.8%,26.2%,0.0%,-47.5%,"-127,959",x,Clinton
California,CA-16,D+7,Jim Costa,D,97473,70483,0,167956,5039,-26990,26990,58.0%,42.0%,0.0%,-16.1%,"-26,990",x,Clinton
California,CA-17,D+20,Ro Khanna,D,233192,0,0,233192,6996,-233192,233192,100.0%,0.0%,0.0%,-100.0%,"-233,192",x,Clinton
California,CA-18,D+18,Anna Eshoo,D,230460,93470,0,323930,9718,-136990,136990,71.1%,28.9%,0.0%,-42.3%,"-136,990",x,Clinton
California,CA-19,D+19,Zoe Lofgren,D,181802,64061,0,245863,7376,-117741,117741,73.9%,26.1%,0.0%,-47.9%,"-117,741",x,Clinton
California,CA-20,D+21,Jimmy Panetta,D,180980,74811,0,255791,7674,-106169,106169,70.8%,29.2%,0.0%,-41.5%,"-106,169",x,Clinton
California,CA-21,D+2,David Valadao,R,57282,75126,0,132408,3972,17844,-17844,43.3%,56.7%,0.0%,13.5%,"17,844",x,Clinton
California,CA-22,R+10,Devin Nunes,R,76211,158755,0,234966,7049,82544,-82544,32.4%,67.6%,0.0%,35.1%,"82,544",x,Trump
California,CA-23,R+16,Kevin McCarthy,R,74468,167116,0,241584,7248,92648,-92648,30.8%,69.2%,0.0%,38.4%,"92,648",x,Trump
California,CA-24,D+4,Salud Carbajal,D,166034,144780,0,310814,9324,-21254,21254,53.4%,46.6%,0.0%,-6.8%,"-21,254",x,Clinton
California,CA-25,R+3,Steve Knight,R,122406,138755,0,261161,7835,16349,-16349,46.9%,53.1%,0.0%,6.3%,"16,349",x,Clinton
California,CA-26,D+4,Julia Brownley,D,169248,111059,0,280307,8409,-58189,58189,60.4%,39.6%,0.0%,-20.8%,"-58,189",x,Clinton
California,CA-27,D+11,Judy Chu,D,168977,81655,0,250632,7519,-87322,87322,67.4%,32.6%,0.0%,-34.8%,"-87,322",x,Clinton
California,CA-28,D+20,Adam Schiff,D,210883,59526,0,270409,8112,-151357,151357,78.0%,22.0%,0.0%,-56.0%,"-151,357",x,Clinton
California,CA-29,D+25,Tony Cardenas,D,171824,0,0,171824,5155,-171824,171824,100.0%,0.0%,0.0%,-100.0%,"-171,824",x,Clinton
California,CA-30,D+14,Brad Sherman,D,205279,77325,0,282604,8478,-127954,127954,72.6%,27.4%,0.0%,-45.3%,"-127,954",x,Clinton
California,CA-31,D+5,Pete Aguilar,D,121070,94866,0,215936,6478,-26204,26204,56.1%,43.9%,0.0%,-12.1%,"-26,204",x,Clinton
California,CA-32,D+12,Grace Napolitano,D,186646,0,0,186646,5599,-186646,186646,100.0%,0.0%,0.0%,-100.0%,"-186,646",x,Clinton
California,CA-33,D+11,Ted Lieu,D,219397,110822,0,330219,9907,-108575,108575,66.4%,33.6%,0.0%,-32.9%,"-108,575",x,Clinton
California,CA-34,D+30,Xavier Becerra,D,159156,0,0,159156,4775,-159156,159156,100.0%,0.0%,0.0%,-100.0%,"-159,156",x,Clinton
California,CA-35,D+15,Norma Torres,D,124044,47309,0,171353,5141,-76735,76735,72.4%,27.6%,0.0%,-44.8%,"-76,735",x,Clinton
California,CA-36,R+1,Raul Ruiz,D,144348,88269,0,232617,6979,-56079,56079,62.1%,37.9%,0.0%,-24.1%,"-56,079",x,Clinton
California,CA-37,D+34,Karen Bass,D,237272,0,0,237272,7118,-237272,237272,100.0%,0.0%,0.0%,-100.0%,"-237,272",x,Clinton
California,CA-38,D+12,Linda Sanchez,D,163590,68524,0,232114,6963,-95066,95066,70.5%,29.5%,0.0%,-41.0%,"-95,066",x,Clinton
California,CA-39,R+5,Ed Royce,R,112679,150777,0,263456,7904,38098,-38098,42.8%,57.2%,0.0%,14.5%,"38,098",x,Clinton
California,CA-40,D+29,Lucille Roybal-Allard,D,106554,0,42743,149297,4479,-63811,149297,71.4%,0.0%,28.6%,-71.4%,"-106,554",x,Clinton
California,CA-41,D+9,Mark Takano,D,128164,69159,0,197323,5920,-59005,59005,65.0%,35.0%,0.0%,-29.9%,"-59,005",x,Clinton
California,CA-42,R+10,Ken Calvert,R,104689,149547,0,254236,7627,44858,-44858,41.2%,58.8%,0.0%,17.6%,"44,858",x,Trump
California,CA-43,D+26,Maxine Waters,D,167017,52499,0,219516,6585,-114518,114518,76.1%,23.9%,0.0%,-52.2%,"-114,518",x,Clinton
California,CA-44,D+32,Nanette Barragan,D,178413,0,0,178413,5352,-178413,178413,100.0%,0.0%,0.0%,-100.0%,"-178,413",x,Clinton
California,CA-45,R+7,Mimi Walters,R,129231,182618,0,311849,9355,53387,-53387,41.4%,58.6%,0.0%,17.1%,"53,387",x,Clinton
California,CA-46,D+9,Lou Correa,D,164593,0,0,164593,4938,-164593,164593,100.0%,0.0%,0.0%,-100.0%,"-164,593",x,Clinton
California,CA-47,D+8,Alan Lowenthal,D,154759,88109,0,242868,7286,-66650,66650,63.7%,36.3%,0.0%,-27.4%,"-66,650",x,Clinton
California,CA-48,R+7,Dana Rohrabacher,R,127715,178701,0,306416,9192,50986,-50986,41.7%,58.3%,0.0%,16.6%,"50,986",x,Clinton
California,CA-49,R+4,Darrell Issa,R,154267,155888,0,310155,9305,1621,-1621,49.7%,50.3%,0.0%,0.5%,"1,621",x,Clinton
California,CA-50,R+14,Duncan D. Hunter,R,103646,179937,0,283583,8507,76291,-76291,36.5%,63.5%,0.0%,26.9%,"76,291",x,Trump
California,CA-51,D+16,Juan Vargas,D,145162,54362,0,199524,5986,-90800,90800,72.8%,27.2%,0.0%,-45.5%,"-90,800",x,Clinton
California,CA-52,D+2,Scott Peters,D,181253,139403,0,320656,9620,-41850,41850,56.5%,43.5%,0.0%,-13.1%,"-41,850",x,Clinton
California,CA-53,D+10,Susan Davis,D,198988,97968,0,296956,8909,-101020,101020,67.0%,33.0%,0.0%,-34.0%,"-101,020",x,Clinton
Colorado,CO-1,D+18,Diana DeGette,D,257254,105030,16752,379036,11371,-135472,168976,67.9%,27.7%,4.4%,-40.2%,"-152,224",x,Clinton
Colorado,CO-2,D+8,Jared Polis,D,260175,170001,27136,457312,13719,-63038,117310,56.9%,37.2%,5.9%,-19.7%,"-90,174",x,Clinton
Colorado,CO-3,R+5,Scott Tipton,R,150914,204220,18903,374037,11221,72209,-34403,40.3%,54.6%,5.1%,14.3%,"53,306",x,Trump
Colorado,CO-4,R+11,Ken Buck,R,123642,248155,18752,390549,11716,143265,-105761,31.7%,63.5%,4.8%,31.9%,"124,513",x,Trump
Colorado,CO-5,R+13,Doug Lamborn,R,111676,225445,24872,361993,10860,138641,-88897,30.9%,62.3%,6.9%,31.4%,"113,769",x,Trump
Colorado,CO-6,D+1,Mike Coffman,R,160372,191626,24419,376417,11293,55673,-6835,42.6%,50.9%,6.5%,8.3%,"31,254",x,Clinton
Colorado,CO-7,D+5,Ed Perlmutter,D,199758,144066,18186,362010,10860,-37506,73878,55.2%,39.8%,5.0%,-15.4%,"-55,692",x,Clinton
Connecticut,CT-1,D+13,John Larson,D,200686,105674,6565,312925,9388,-88447,101577,64.1%,33.8%,2.1%,-30.4%,"-95,012",x,Clinton
Connecticut,CT-2,D+5,Joe Courtney,D,208818,111149,10290,330257,9908,-87379,107959,63.2%,33.7%,3.1%,-29.6%,"-97,669",x,Clinton
Connecticut,CT-3,D+11,Rosa DeLauro,D,213572,95786,21,309379,9281,-117765,117807,69.0%,31.0%,0.0%,-38.1%,"-117,786",x,Clinton
Connecticut,CT-4,D+5,Jim Himes,D,187811,125724,5,313540,9406,-62082,62092,59.9%,40.1%,0.0%,-19.8%,"-62,087",x,Clinton
Connecticut,CT-5,D+3,Elizabeth Etsy,D,179252,129801,29,309082,9272,-49422,49480,58.0%,42.0%,0.0%,-16.0%,"-49,451",x,Clinton
Delaware,DE-AL,D+8,Lisa Blunt Rochester,D,233554,172301,14762,420617,12619,-46491,76015,55.5%,41.0%,3.5%,-14.6%,"-61,253",x,Clinton
Florida,FL-1,R+21,Matt Gaetz,R,114079,255107,0,369186,11076,141028,-141028,30.9%,69.1%,0.0%,38.2%,"141,028",x,Trump
Florida,FL-2,R+18,Neal Dunn,R,102801,231163,9398,343362,10301,137760,-118964,29.9%,67.3%,2.7%,37.4%,"128,362",x,Trump
Florida,FL-3,R+9,Ted Yoho,R,136338,193843,12519,342700,10281,70024,-44986,39.8%,56.6%,3.7%,16.8%,"57,505",x,Trump
Florida,FL-4,R+19,John Rutherford,R,113088,287509,9065,409662,12290,183486,-165356,27.6%,70.2%,2.2%,42.6%,"174,421",x,Trump
Florida,FL-5,D+12,Al Lawson,D,194549,108325,0,302874,9086,-86224,86224,64.2%,35.8%,0.0%,-28.5%,"-86,224",x,Clinton
Florida,FL-6,R+4,Ron DeSantis,R,151051,213519,0,364570,10937,62468,-62468,41.4%,58.6%,0.0%,17.1%,"62,468",x,Trump
Florida,FL-7,R+2,Stephanie Murphy,D,182039,171583,33,353655,10610,-10423,10489,51.5%,48.5%,0.0%,-3.0%,"-10,456",x,Clinton
Florida,FL-8,R+9,Bill Posey,R,127127,246483,16951,390561,11717,136307,-102405,32.5%,63.1%,4.3%,30.6%,"119,356",x,Trump
Florida,FL-9,D+3,Darren Soto,D,195311,144450,0,339761,10193,-50861,50861,57.5%,42.5%,0.0%,-15.0%,"-50,861",x,Clinton
Florida,FL-10,D+9,Val Demings,D,198491,107498,0,305989,9180,-90993,90993,64.9%,35.1%,0.0%,-29.7%,"-90,993",x,Clinton
Florida,FL-11,R+11,Dan Webster,R,124713,258016,11990,394719,11842,145293,-121313,31.6%,65.4%,3.0%,33.8%,"133,303",x,Trump
Florida,FL-12,R+6,Gus Bilirakis,R,116110,253559,0,369669,11090,137449,-137449,31.4%,68.6%,0.0%,37.2%,"137,449",x,Trump
Florida,FL-13,D+3,Charlie Crist,D,184693,171149,0,355842,10675,-13544,13544,51.9%,48.1%,0.0%,-3.8%,"-13,544",x,Clinton
Florida,FL-14,D+6,Kathy Castor,D,195789,121088,0,316877,9506,-74701,74701,61.8%,38.2%,0.0%,-23.6%,"-74,701",x,Clinton
Florida,FL-15,R+6,Dennis Ross,R,135475,182999,0,318474,9554,47524,-47524,42.5%,57.5%,0.0%,14.9%,"47,524",x,Trump
Florida,FL-16,R+6,Vern Buchanan,R,155262,230654,0,385916,11577,75392,-75392,40.2%,59.8%,0.0%,19.5%,"75,392",x,Trump
Florida,FL-17,R+10,Tom Rooney,R,115974,209348,13353,338675,10160,106727,-80021,34.2%,61.8%,3.9%,27.6%,"93,374",x,Trump
Florida,FL-18,R+3,Brian Mast,R,161918,201488,12512,375918,11278,52082,-27058,43.1%,53.6%,3.3%,10.5%,"39,570",x,Trump
Florida,FL-19,R+12,Francis Rooney,R,123812,239225,129,363166,10895,115542,-115284,34.1%,65.9%,0.0%,31.8%,"115,413",x,Trump
Florida,FL-20,D+30,Alcee Hastings,D,222914,54646,0,277560,8327,-168268,168268,80.3%,19.7%,0.0%,-60.6%,"-168,268",x,Clinton
Florida,FL-21,D+10,Lois Frankel,D,210606,118038,7217,335861,10076,-85351,99785,62.7%,35.1%,2.1%,-27.6%,"-92,568",x,Clinton
Florida,FL-22,D+5,Ted Deutch,D,199113,138737,0,337850,10136,-60376,60376,58.9%,41.1%,0.0%,-17.9%,"-60,376",x,Clinton
Florida,FL-23,D+9,Debbie Wasserman Schultz,D,183225,130818,9077,323120,9694,-43330,61484,56.7%,40.5%,2.8%,-16.2%,"-52,407",x,Clinton
Florida,FL-24,D+33,Frederica Wilson,D,0,0,0,0,0,0,0,100.0%,0.0%,0.0%,-100.0%,0,x,Clinton
Florida,FL-25,R+10,Mario Diaz-Balart,R,95319,157921,0,253240,7597,62602,-62602,37.6%,62.4%,0.0%,24.7%,"62,602",x,Trump
Florida,FL-26,EVEN,Carlos Curbelo,R,115493,148547,16502,280542,8416,49556,-16552,41.2%,53.0%,5.9%,11.8%,"33,054",x,Clinton
Florida,FL-27,R+1,Ileana Ros-Lehtinen,R,129760,157917,0,287677,8630,28157,-28157,45.1%,54.9%,0.0%,9.8%,"28,157",x,Clinton
Georgia,GA-1,R+9,Buddy Carter,R,0,210243,0,210243,6307,210243,-210243,0.0%,100.0%,0.0%,100.0%,"210,243",x,Trump
Georgia,GA-2,D+6,Sanford Bishop,D,148543,94056,0,242599,7278,-54487,54487,61.2%,38.8%,0.0%,-22.5%,"-54,487",x,Clinton
Georgia,GA-3,R+19,Drew Ferguson,R,95969,207218,0,303187,9096,111249,-111249,31.7%,68.3%,0.0%,36.7%,"111,249",x,Trump
Georgia,GA-4,D+21,Hank Johnson,D,220146,70593,0,290739,8722,-149553,149553,75.7%,24.3%,0.0%,-51.4%,"-149,553",x,Clinton
Georgia,GA-5,D+32,John Lewis,D,253781,46768,0,300549,9016,-207013,207013,84.4%,15.6%,0.0%,-68.9%,"-207,013",x,Clinton
Georgia,GA-6,R+14,Tom Price,R,124917,201088,0,326005,9780,76171,-76171,38.3%,61.7%,0.0%,23.4%,"76,171",x,Trump
Georgia,GA-7,R+14,Rob Woodall,R,114220,174081,0,288301,8649,59861,-59861,39.6%,60.4%,0.0%,20.8%,"59,861",x,Trump
Georgia,GA-8,R+15,Austin Scott,R,83225,173983,0,257208,7716,90758,-90758,32.4%,67.6%,0.0%,35.3%,"90,758",x,Trump
Georgia,GA-9,R+30,Doug Collins,R,0,256535,0,256535,7696,256535,-256535,0.0%,100.0%,0.0%,100.0%,"256,535",x,Trump
Georgia,GA-10,R+14,Jody Hice,R,0,243725,0,243725,7312,243725,-243725,0.0%,100.0%,0.0%,100.0%,"243,725",x,Trump
Georgia,GA-11,R+19,Barry Loudermilk,R,105383,217935,0,323318,9700,112552,-112552,32.6%,67.4%,0.0%,34.8%,"112,552",x,Trump
Georgia,GA-12,R+9,Rick Allen,R,99420,159492,0,258912,7767,60072,-60072,38.4%,61.6%,0.0%,23.2%,"60,072",x,Trump
Georgia,GA-13,D+16,David Scott,D,252833,0,0,252833,7585,-252833,252833,100.0%,0.0%,0.0%,-100.0%,"-252,833",x,Clinton
Georgia,GA-14,R+26,Tom Graves,R,0,216743,0,216743,6502,216743,-216743,0.0%,100.0%,0.0%,100.0%,"216,743",x,Trump
Hawaii,HI-1,D+18,Colleen Hanabusa,D,145417,45958,10982,202357,6071,-88477,110441,71.9%,22.7%,5.4%,-49.2%,"-99,459",x,Clinton
Hawaii,HI-2,D+21,Tulsi Gabbard,D,170848,39668,0,210516,6315,-131180,131180,81.2%,18.8%,0.0%,-62.3%,"-131,180",x,Clinton
Idaho,ID-1,R+18,Raul Labrador,R,113052,242252,53,355357,10661,129253,-129147,31.8%,68.2%,0.0%,36.4%,"129,200",x,Trump
Idaho,ID-2,R+17,Mike Simpson,R,95940,205292,25005,326237,9787,134357,-84347,29.4%,62.9%,7.7%,33.5%,"109,352",x,Trump
Illinois,IL-1,D+28,Bobby Rush,D,234037,81817,8,315862,9476,-152212,152228,74.1%,25.9%,0.0%,-48.2%,"-152,220",x,Clinton
Illinois,IL-2,D+29,Robin Kelly,D,235051,59471,0,294522,8836,-175580,175580,79.8%,20.2%,0.0%,-59.6%,"-175,580",x,Clinton
Illinois,IL-3,D+5,Dan Lipinski,D,225320,0,91,225411,6762,-225229,225411,100.0%,0.0%,0.0%,-100.0%,"-225,320",x,Clinton
Illinois,IL-4,D+29,Luis Gutierrez,D,171297,0,0,171297,5139,-171297,171297,100.0%,0.0%,0.0%,-100.0%,"-171,297",x,Clinton
Illinois,IL-5,D+16,Mike Quigley,D,212842,86222,14660,313724,9412,-111960,141280,67.8%,27.5%,4.7%,-40.4%,"-126,620",x,Clinton
Illinois,IL-6,R+4,Peter Roskam,R,143591,208555,0,352146,10564,64964,-64964,40.8%,59.2%,0.0%,18.4%,"64,964",x,Clinton
Illinois,IL-7,D+36,Danny Davis,D,250584,46882,0,297466,8924,-203702,203702,84.2%,15.8%,0.0%,-68.5%,"-203,702",x,Clinton
Illinois,IL-8,D+8,Raja Krishnamoorthi,D,144954,103617,0,248571,7457,-41337,41337,58.3%,41.7%,0.0%,-16.6%,"-41,337",x,Clinton
Illinois,IL-9,D+15,Jan Schakowsky,D,217306,109550,92,326948,9808,-107664,107848,66.5%,33.5%,0.0%,-33.0%,"-107,756",x,Clinton
Illinois,IL-10,D+8,Brad Schneider,D,150435,135535,26,285996,8580,-14874,14926,52.6%,47.4%,0.0%,-5.2%,"-14,900",x,Clinton
Illinois,IL-11,D+8,Bill Foster,D,166578,108995,0,275573,8267,-57583,57583,60.4%,39.6%,0.0%,-20.9%,"-57,583",x,Clinton
Illinois,IL-12,EVEN,Mike Bost,R,124246,169976,18780,313002,9390,64510,-26950,39.7%,54.3%,6.0%,14.6%,"45,730",x,Trump
Illinois,IL-13,EVEN,Rodney Davis,R,126811,187583,0,314394,9432,60772,-60772,40.3%,59.7%,0.0%,19.3%,"60,772",x,Trump
Illinois,IL-14,R+5,Randy Hultgren,R,137589,200508,0,338097,10143,62919,-62919,40.7%,59.3%,0.0%,18.6%,"62,919",x,Trump
Illinois,IL-15,R+14,John Shimkus,R,0,274554,0,274554,8237,274554,-274554,0.0%,100.0%,0.0%,100.0%,"274,554",x,Trump
Illinois,IL-16,R+4,Adam Kinzinger,R,0,259722,131,259853,7796,259853,-259591,0.0%,99.9%,0.1%,99.9%,"259,722",x,Trump
Illinois,IL-17,D+7,Cheri Bustos,D,173125,113943,0,287068,8612,-59182,59182,60.3%,39.7%,0.0%,-20.6%,"-59,182",x,Trump
Illinois,IL-18,R+11,Darin LaHood,R,96770,250506,7,347283,10418,153743,-153729,27.9%,72.1%,0.0%,44.3%,"153,736",x,Trump
Indiana,IN-1,D+10,Peter Visclosky,D,207515,0,47068,254583,7637,-160447,254583,81.5%,0.0%,18.5%,-81.5%,"-207,515",x,Clinton
Indiana,IN-2,R+6,Jackie Walorski,R,102401,164355,10601,277357,8321,72555,-51353,36.9%,59.3%,3.8%,22.3%,"61,954",x,Trump
Indiana,IN-3,R+13,Jim Banks,R,66023,201396,19828,287247,8617,155201,-115545,23.0%,70.1%,6.9%,47.1%,"135,373",x,Trump
Indiana,IN-4,R+11,Todd Rokita,R,91256,193412,14766,299434,8983,116922,-87390,30.5%,64.6%,4.9%,34.1%,"102,156",x,Trump
Indiana,IN-5,R+9,Susan Brooks,R,123849,221957,15329,361135,10834,113437,-82779,34.3%,61.5%,4.2%,27.2%,"98,108",x,Trump
Indiana,IN-6,R+12,Luke Messer,R,79135,204920,12330,296385,8892,138115,-113455,26.7%,69.1%,4.2%,42.4%,"125,785",x,Trump
Indiana,IN-7,D+13,Andre Carson,D,158739,94456,11475,264670,7940,-52808,75758,60.0%,35.7%,4.3%,-24.3%,"-64,283",x,Clinton
Indiana,IN-8,R+8,Larry Bucshon,R,93356,187702,13655,294713,8841,108001,-80691,31.7%,63.7%,4.6%,32.0%,"94,346",x,Trump
Indiana,IN-9,R+9,Trey Hollingsworth,R,130627,174791,17425,322843,9685,61589,-26739,40.5%,54.1%,5.4%,13.7%,"44,164",x,Trump
Iowa,IA-1,D+5,Rod Blum,R,177403,206903,671,384977,11549,30171,-28829,46.1%,53.7%,0.2%,7.7%,"29,500",x,Trump
Iowa,IA-2,D+4,Dave Loebsack,D,198571,170933,528,370032,11101,-27110,28166,53.7%,46.2%,0.1%,-7.5%,"-27,638",x,Trump
Iowa,IA-3,EVEN,David Young ,R,155002,208598,26687,390287,11709,80283,-26909,39.7%,53.4%,6.8%,13.7%,"53,596",x,Trump
Iowa,IA-4,R+5,Steve King,R,142993,226719,547,370259,11108,84273,-83179,38.6%,61.2%,0.1%,22.6%,"83,726",x,Trump
Kansas,KS-1,R+23,Roger Marshall,R,0,169992,87979,257971,7739,257971,-82013,0.0%,65.9%,34.1%,65.9%,"169,992",x,Trump
Kansas,KS-2,R+8,Lynn Jenkins,R,96840,181228,19333,297401,8922,103721,-65055,32.6%,60.9%,6.5%,28.4%,"84,388",x,Trump
Kansas,KS-3,R+6,Kevin Yoder,R,139300,176022,27791,343113,10293,64513,-8931,40.6%,51.3%,8.1%,10.7%,"36,722",x,Clinton
Kansas,KS-4,R+14,Mike Pompeo,R,81495,166998,26758,275251,8258,112261,-58745,29.6%,60.7%,9.7%,31.1%,"85,503",x,Trump
Kentucky,KY-1,R+18,James Comer,R,81710,216959,332,299001,8970,135581,-134917,27.3%,72.6%,0.1%,45.2%,"135,249",x,Trump
Kentucky,KY-2,R+16,Brett Guthrie,R,0,251825,0,251825,7555,251825,-251825,0.0%,100.0%,0.0%,100.0%,"251,825",x,Trump
Kentucky,KY-3,D+4,John Yarmuth,D,212401,122093,0,334494,10035,-90308,90308,63.5%,36.5%,0.0%,-27.0%,"-90,308",x,Clinton
Kentucky,KY-4,R+16,Thomas Massie,R,94065,233922,0,327987,9840,139857,-139857,28.7%,71.3%,0.0%,42.6%,"139,857",x,Trump
Kentucky,KY-5,R+25,Hal Rogers,R,0,221242,0,221242,6637,221242,-221242,0.0%,100.0%,0.0%,100.0%,"221,242",x,Trump
Kentucky,KY-6,R+9,Andy Barr,R,128728,202099,0,330827,9925,73371,-73371,38.9%,61.1%,0.0%,22.2%,"73,371",x,Trump
Louisiana,LA-1,R+26,Steve Scalise,R,63785,243645,19358,326788,9804,199218,-160502,19.5%,74.6%,5.9%,55.0%,"179,860",x,Trump
Louisiana,LA-2,D+23,Cedric Richmond,D,284269,0,0,284269,8528,-284269,284269,100.0%,0.0%,0.0%,-100.0%,"-284,269",x,Clinton
Louisiana,LA-3,R+19,Clay Higgins,R,56215,258632,5607,320454,9614,208024,-196810,17.5%,80.7%,1.7%,63.2%,"202,417",x,Trump
Louisiana,LA-4,R+13,Mike Johnson,R,80593,199750,5642,285985,8580,124799,-113515,28.2%,69.8%,2.0%,41.7%,"119,157",x,Trump
Louisiana,LA-5,R+15,Ralph Abraham,R,0,255662,0,255662,7670,255662,-255662,0.0%,100.0%,0.0%,100.0%,"255,662",x,Trump
Louisiana,LA-6,R+21,Garret Graves,R,79202,241075,10821,331098,9933,172694,-151052,23.9%,72.8%,3.3%,48.9%,"161,873",x,Trump
Maine,ME-1,D+9,Chellie Pingree,D,227546,164569,276,392391,11772,-62701,63253,58.0%,41.9%,0.1%,-16.0%,"-62,977",x,Clinton
