State,,,CD#,2012 Cook PVI Score,Winner,Party,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,GOP Margin%,GOP Raw Margin,Final?,2016 Prez Winner
Connecticut,CT,-,2,D+5,Joe Courtney,D,"208,818","111,149","10,290",63.2%,33.7%,3.1%,-29.6%,"-97,669",x,Clinton
Connecticut,CT,-,3,D+11,Rosa DeLauro,D,"213,572","95,786",21,69.0%,31.0%,0.0%,-38.1%,"-117,786",x,Clinton
Connecticut,CT,-,4,D+5,Jim Himes,D,"187,811","125,724",5,59.9%,40.1%,0.0%,-19.8%,"-62,087",x,Clinton
Connecticut,CT,-,5,D+3,Elizabeth Etsy,D,"179,252","129,801",29,58.0%,42.0%,0.0%,-16.0%,"-49,451",x,Clinton
Delaware,DE,-,AL,D+8,Lisa Blunt Rochester,D,"233,554","172,301","14,762",55.5%,41.0%,3.5%,-14.6%,"-61,253",x,Clinton
Florida,FL,-,1,R+21,Matt Gaetz,R,"114,079","255,107",0,30.9%,69.1%,0.0%,38.2%,"141,028",x,Trump
Florida,FL,-,2,R+18,Neal Dunn,R,"102,801","231,163","9,398",29.9%,67.3%,2.7%,37.4%,"128,362",x,Trump
Florida,FL,-,3,R+9,Ted Yoho,R,"136,338","193,843","12,519",39.8%,56.6%,3.7%,16.8%,"57,505",x,Trump
Florida,FL,-,4,R+19,John Rutherford,R,"113,088","287,509","9,065",27.6%,70.2%,2.2%,42.6%,"174,421",x,Trump
Florida,FL,-,5,D+12,Al Lawson,D,"194,549","108,325",0,64.2%,35.8%,0.0%,-28.5%,"-86,224",x,Clinton
Florida,FL,-,6,R+4,Ron DeSantis,R,"151,051","213,519",0,41.4%,58.6%,0.0%,17.1%,"62,468",x,Trump
Florida,FL,-,7,R+2,Stephanie Murphy,D,"182,039","171,583",33,51.5%,48.5%,0.0%,-3.0%,"-10,456",x,Clinton
Florida,FL,-,8,R+9,Bill Posey,R,"127,127","246,483","16,951",32.5%,63.1%,4.3%,30.6%,"119,356",x,Trump
Florida,FL,-,9,D+3,Darren Soto,D,"195,311","144,450",0,57.5%,42.5%,0.0%,-15.0%,"-50,861",x,Clinton
Florida,FL,-,10,D+9,Val Demings,D,"198,491","107,498",0,64.9%,35.1%,0.0%,-29.7%,"-90,993",x,Clinton
Florida,FL,-,11,R+11,Dan Webster,R,"124,713","258,016","11,990",31.6%,65.4%,3.0%,33.8%,"133,303",x,Trump
Florida,FL,-,12,R+6,Gus Bilirakis,R,"116,110","253,559",0,31.4%,68.6%,0.0%,37.2%,"137,449",x,Trump
Florida,FL,-,13,D+3,Charlie Crist,D,"184,693","171,149",0,51.9%,48.1%,0.0%,-3.8%,"-13,544",x,Clinton
Florida,FL,-,14,D+6,Kathy Castor,D,"195,789","121,088",0,61.8%,38.2%,0.0%,-23.6%,"-74,701",x,Clinton
Florida,FL,-,15,R+6,Dennis Ross,R,"135,475","182,999",0,42.5%,57.5%,0.0%,14.9%,"47,524",x,Trump
Florida,FL,-,16,R+6,Vern Buchanan,R,"155,262","230,654",0,40.2%,59.8%,0.0%,19.5%,"75,392",x,Trump
Florida,FL,-,17,R+10,Tom Rooney,R,"115,974","209,348","13,353",34.2%,61.8%,3.9%,27.6%,"93,374",x,Trump
Florida,FL,-,18,R+3,Brian Mast,R,"161,918","201,488","12,512",43.1%,53.6%,3.3%,10.5%,"39,570",x,Trump
Florida,FL,-,19,R+12,Francis Rooney,R,"123,812","239,225",129,34.1%,65.9%,0.0%,31.8%,"115,413",x,Trump
Florida,FL,-,20,D+30,Alcee Hastings,D,"222,914","54,646",0,80.3%,19.7%,0.0%,-60.6%,"-168,268",x,Clinton
Florida,FL,-,21,D+10,Lois Frankel,D,"210,606","118,038","7,217",62.7%,35.1%,2.1%,-27.6%,"-92,568",x,Clinton
Florida,FL,-,22,D+5,Ted Deutch,D,"199,113","138,737",0,58.9%,41.1%,0.0%,-17.9%,"-60,376",x,Clinton
Florida,FL,-,23,D+9,Debbie Wasserman Schultz,D,"183,225","130,818","9,077",56.7%,40.5%,2.8%,-16.2%,"-52,407",x,Clinton
Florida,FL,-,24,D+33,Frederica Wilson,D,0,0,0,100.0%,0.0%,0.0%,-100.0%,0,x,Clinton
Florida,FL,-,25,R+10,Mario Diaz-Balart,R,"95,319","157,921",0,37.6%,62.4%,0.0%,24.7%,"62,602",x,Trump
Florida,FL,-,26,EVEN,Carlos Curbelo,R,"115,493","148,547","16,502",41.2%,53.0%,5.9%,11.8%,"33,054",x,Clinton
Florida,FL,-,27,R+1,Ileana Ros-Lehtinen,R,"129,760","157,917",0,45.1%,54.9%,0.0%,9.8%,"28,157",x,Clinton
Georgia,GA,-,1,R+9,Buddy Carter,R,0,"210,243",0,0.0%,100.0%,0.0%,100.0%,"210,243",x,Trump
Georgia,GA,-,2,D+6,Sanford Bishop,D,"148,543","94,056",0,61.2%,38.8%,0.0%,-22.5%,"-54,487",x,Clinton
Georgia,GA,-,3,R+19,Drew Ferguson,R,"95,969","207,218",0,31.7%,68.3%,0.0%,36.7%,"111,249",x,Trump
Georgia,GA,-,4,D+21,Hank Johnson,D,"220,146","70,593",0,75.7%,24.3%,0.0%,-51.4%,"-149,553",x,Clinton
Georgia,GA,-,5,D+32,John Lewis,D,"253,781","46,768",0,84.4%,15.6%,0.0%,-68.9%,"-207,013",x,Clinton
Georgia,GA,-,6,R+14,Tom Price,R,"124,917","201,088",0,38.3%,61.7%,0.0%,23.4%,"76,171",x,Trump
Georgia,GA,-,7,R+14,Rob Woodall,R,"114,220","174,081",0,39.6%,60.4%,0.0%,20.8%,"59,861",x,Trump
Georgia,GA,-,8,R+15,Austin Scott,R,"83,225","173,983",0,32.4%,67.6%,0.0%,35.3%,"90,758",x,Trump
Georgia,GA,-,9,R+30,Doug Collins,R,0,"256,535",0,0.0%,100.0%,0.0%,100.0%,"256,535",x,Trump
Georgia,GA,-,10,R+14,Jody Hice,R,0,"243,725",0,0.0%,100.0%,0.0%,100.0%,"243,725",x,Trump
Georgia,GA,-,11,R+19,Barry Loudermilk,R,"105,383","217,935",0,32.6%,67.4%,0.0%,34.8%,"112,552",x,Trump
Georgia,GA,-,12,R+9,Rick Allen,R,"99,420","159,492",0,38.4%,61.6%,0.0%,23.2%,"60,072",x,Trump
Georgia,GA,-,13,D+16,David Scott,D,"252,833",0,0,100.0%,0.0%,0.0%,-100.0%,"-252,833",x,Clinton
Georgia,GA,-,14,R+26,Tom Graves,R,0,"216,743",0,0.0%,100.0%,0.0%,100.0%,"216,743",x,Trump
Hawaii,HI,-,1,D+18,Colleen Hanabusa,D,"145,417","45,958","10,982",71.9%,22.7%,5.4%,-49.2%,"-99,459",x,Clinton
Hawaii,HI,-,2,D+21,Tulsi Gabbard,D,"170,848","39,668",0,81.2%,18.8%,0.0%,-62.3%,"-131,180",x,Clinton
