State,,,CD#,2012 Cook PVI Score,Winner,Party,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,GOP Margin%,GOP Raw Margin,Final?,2016 Prez Winner
Texas,TX,-,29,D+12,Gene Green,D,"95,649","31,646","4,687",72.5%,24.0%,3.6%,-48.5%,"-64,003",x,Clinton
Texas,TX,-,30,D+27,Eddie Bernice Johnson,D,"170,502","31,518","6,806",81.6%,15.1%,3.3%,-66.6%,"-138,984",x,Clinton
Texas,TX,-,31,R+12,John Carter,R,"103,852","166,060","14,676",36.5%,58.4%,5.2%,21.9%,"62,208",x,Trump
Texas,TX,-,32,R+10,Pete Sessions,R,0,"162,868","66,303",0.0%,71.1%,28.9%,71.1%,"162,868",x,Clinton
Texas,TX,-,33,D+18,Marc Veasey,D,"93,147","33,222",0,73.7%,26.3%,0.0%,-47.4%,"-59,925",x,Clinton
Texas,TX,-,34,D+8,Filemon Vela,D,"104,638","62,323",0,62.7%,37.3%,0.0%,-25.3%,"-42,315",x,Clinton
Texas,TX,-,35,D+11,Lloyd Doggett,D,"124,612","62,384","10,580",63.1%,31.6%,5.4%,-31.5%,"-62,228",x,Clinton
Texas,TX,-,36,R+25,Brian Babin,R,0,"193,675","24,890",0.0%,88.6%,11.4%,88.6%,"193,675",x,Trump
Utah,UT,-,1,R+27,Rob Bishop,R,"73,381","182,928","21,146",26.4%,65.9%,7.6%,39.5%,"109,547",x,Trump
Utah,UT,-,2,R+18,Chris Stewart,R,"93,780","170,542","12,519",33.9%,61.6%,4.5%,27.7%,"76,762",x,Trump
Utah,UT,-,3,R+28,Jason Chaffetz,R,"75,716","209,589",0,26.5%,73.5%,0.0%,46.9%,"133,873",x,Trump
Utah,UT,-,4,R+16,Mia Love,R,"113,413","147,597","13,559",41.3%,53.8%,4.9%,12.5%,"34,184",x,Trump
Vermont,VT,-,AL,D+16,Peter Welch,D,"264,414",0,"30,920",89.5%,0.0%,10.5%,-89.5%,"-264,414",x,Clinton
Virginia,VA,-,1,R+8,Rob Wittman,R,"140,785","230,213","13,603",36.6%,59.9%,3.5%,23.3%,"89,428",x,Trump
Virginia,VA,-,2,R+4,Scott Taylor,R,"119,440","190,475",653,38.5%,61.3%,0.2%,22.9%,"71,035",x,Trump
Virginia,VA,-,3,D+15,Bobby Scott,D,"208,337","103,289",714,66.7%,33.1%,0.2%,-33.6%,"-105,048",x,Clinton
Virginia,VA,-,4,D+8,Don McEachin,D,"200,136","145,731",789,57.7%,42.0%,0.2%,-15.7%,"-54,405",x,Clinton
Virginia,VA,-,5,R+5,Tom Garrett,R,"148,339","207,758",659,41.6%,58.2%,0.2%,16.7%,"59,419",x,Trump
Virginia,VA,-,6,R+12,Bob Goodlatte,R,"112,170","225,471",768,33.1%,66.6%,0.2%,33.5%,"113,301",x,Trump
Virginia,VA,-,7,R+8,Dave Brat,R,"160,159","218,057",947,42.2%,57.5%,0.2%,15.3%,"57,898",x,Trump
Virginia,VA,-,8,D+16,Don Beyer,D,"246,653","98,387","15,636",68.4%,27.3%,4.3%,-41.1%,"-148,266",x,Clinton
Virginia,VA,-,9,R+15,Morgan Griffith,R,"87,877","212,838","9,599",28.3%,68.6%,3.1%,40.3%,"124,961",x,Trump
Virginia,VA,-,10,R+2,Barbara Comstock,R,"187,712","210,791","1,580",46.9%,52.7%,0.4%,5.8%,"23,079",x,Clinton
Virginia,VA,-,11,D+10,Gerry Connolly,D,"247,818",0,"34,185",87.9%,0.0%,12.1%,-87.9%,"-247,818",x,Clinton
Washington,WA,-,1,D+4,Suzan DelBene,D,"193,619","155,779",0,55.4%,44.6%,0.0%,-10.8%,"-37,840",x,Clinton
Washington,WA,-,2,D+8,Rick Larsen,D,"208,314","117,094",0,64.0%,36.0%,0.0%,-28.0%,"-91,220",x,Clinton
Washington,WA,-,3,R+2,Jaime Herrera Beutler,R,"119,820","193,457",0,38.2%,61.8%,0.0%,23.5%,"73,637",x,Trump
Washington,WA,-,4,R+13,Dan Newhouse,R,0,"229,919",0,0.0%,100.0%,0.0%,100.0%,"229,919",x,Trump
Washington,WA,-,5,R+7,Cathy McMorris Rodgers,R,"130,575","192,959",0,40.4%,59.6%,0.0%,19.3%,"62,384",x,Trump
Washington,WA,-,6,D+5,Derek Kilmer,D,"201,718","126,116",0,61.5%,38.5%,0.0%,-23.1%,"-75,602",x,Clinton
Washington,WA,-,7,D+29,Pramila Jayapal,D,"378,754",0,0,100.0%,0.0%,0.0%,-100.0%,"-378,754",x,Clinton
Washington,WA,-,8,R+1,Dave Reichert,R,"127,720","193,145",0,39.8%,60.2%,0.0%,20.4%,"65,425",x,Clinton
Washington,WA,-,9,D+17,Adam Smith,D,"205,165","76,317",0,72.9%,27.1%,0.0%,-45.8%,"-128,848",x,Clinton
Washington,WA,-,10,D+5,Denny Heck,D,"170,460","120,104",0,58.7%,41.3%,0.0%,-17.3%,"-50,356",x,Clinton
West Virginia,WV,-,1,R+14,David McKinley,R,"73,534","163,469",0,31.0%,69.0%,0.0%,37.9%,"89,935",x,Trump
West Virginia,WV,-,2,R+11,Alex Mooney,R,"101,207","140,807",0,41.8%,58.2%,0.0%,16.4%,"39,600",x,Trump
West Virginia,WV,-,3,R+14,Evan Jenkins,R,"49,708","140,741","16,883",24.0%,67.9%,8.1%,43.9%,"91,033",x,Trump
Wisconsin,WI,-,1,R+3,Paul Ryan,R,"107,003","230,072","17,170",30.2%,64.9%,4.8%,34.7%,"123,069",x,Trump
Wisconsin,WI,-,2,D+17,Mark Pocan,D,"273,537","124,044",479,68.7%,31.2%,0.1%,-37.6%,"-149,493",x,Clinton
Wisconsin,WI,-,3,D+5,Ron Kind,D,"257,401",0,"2,969",98.9%,0.0%,1.1%,-98.9%,"-257,401",x,Trump
Wisconsin,WI,-,4,D+23,Gwen Moore,D,"220,181",0,"66,728",76.7%,0.0%,23.3%,-76.7%,"-220,181",x,Clinton
Wisconsin,WI,-,5,R+13,Jim Sensenbrenner,R,"114,477","260,706","15,661",29.3%,66.7%,4.0%,37.4%,"146,229",x,Trump
Wisconsin,WI,-,6,R+5,Glenn Grothman,R,"133,072","204,147","19,964",37.3%,57.2%,5.6%,19.9%,"71,075",x,Trump
Wisconsin,WI,-,7,R+2,Sean Duffy,R,"138,643","223,418",210,38.3%,61.7%,0.1%,23.4%,"84,775",x,Trump
Wisconsin,WI,-,8,R+2,Mike Gallagher,R,"135,682","227,892",206,37.3%,62.6%,0.1%,25.3%,"92,210",x,Trump
Wyoming,WY,-,AL,R+22,Liz Cheney,R,"75,466","156,176","20,134",30.0%,62.0%,8.0%,32.1%,"80,710",x,Trump
